ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_276_Nucleus.ome.tiff,image_276_Nucleus.ome_fake_B.png,0.7157,0.4814,0.0536,147.7073,0.4189
image_2069_Nucleus.ome.tiff,image_2069_Nucleus.ome_fake_B.png,0.6055,0.3277,0.0782,122.7075,0.1570
image_2498_Nucleus.ome.tiff,image_2498_Nucleus.ome_fake_B.png,0.7802,0.6412,0.0369,221.3838,0.3280
image_2144_Nucleus.ome.tiff,image_2144_Nucleus.ome_fake_B.png,0.5589,0.3379,0.0840,135.5395,0.1872
image_1590_Nucleus.ome.tiff,image_1590_Nucleus.ome_fake_B.png,0.7948,0.7292,0.0528,41.6480,0.1095
image_2123_Nucleus.ome.tiff,image_2123_Nucleus.ome_fake_B.png,0.5945,0.1322,0.0785,133.3340,0.2490
image_909_Nucleus.ome.tiff,image_909_Nucleus.ome_fake_B.png,0.7323,0.2545,0.0766,69.7969,0.2294
image_1126_Nucleus.ome.tiff,image_1126_Nucleus.ome_fake_B.png,0.8683,0.7283,0.0378,35.7948,0.0982
image_2558_Nucleus.ome.tiff,image_2558_Nucleus.ome_fake_B.png,0.7227,0.5611,0.0295,157.8242,0.3829
image_1448_Nucleus.ome.tiff,image_1448_Nucleus.ome_fake_B.png,0.7395,0.0529,0.0740,64.1757,0.1729
image_2168_Nucleus.ome.tiff,image_2168_Nucleus.ome_fake_B.png,0.4974,0.1419,0.0981,157.1216,0.2375
image_1769_Nucleus.ome.tiff,image_1769_Nucleus.ome_fake_B.png,0.6369,0.3606,0.0630,114.2110,0.1852
image_1833_Nucleus.ome.tiff,image_1833_Nucleus.ome_fake_B.png,0.6232,0.3639,0.0718,129.2110,0.2072
image_461_Nucleus.ome.tiff,image_461_Nucleus.ome_fake_B.png,0.6776,0.5332,0.0446,44.9893,0.3315
image_702_Nucleus.ome.tiff,image_702_Nucleus.ome_fake_B.png,0.8137,0.3674,0.0527,54.8863,0.2207
image_2119_Nucleus.ome.tiff,image_2119_Nucleus.ome_fake_B.png,0.6630,0.6023,0.0487,91.2312,0.1223
image_1150_Nucleus.ome.tiff,image_1150_Nucleus.ome_fake_B.png,0.7242,0.1434,0.0846,75.7349,0.3288
image_1193_Nucleus.ome.tiff,image_1193_Nucleus.ome_fake_B.png,0.7071,0.3088,0.0545,57.1470,0.4793
image_2185_Nucleus.ome.tiff,image_2185_Nucleus.ome_fake_B.png,0.5799,0.3360,0.0669,120.7195,0.1754
image_102_Nucleus.ome.tiff,image_102_Nucleus.ome_fake_B.png,0.5147,0.1797,0.0728,189.5535,0.5698
image_753_Nucleus.ome.tiff,image_753_Nucleus.ome_fake_B.png,0.7188,0.3500,0.0684,64.2283,0.2135
image_1495_Nucleus.ome.tiff,image_1495_Nucleus.ome_fake_B.png,0.6539,0.0867,0.0602,59.9477,0.6106
image_245_Nucleus.ome.tiff,image_245_Nucleus.ome_fake_B.png,0.4857,0.4511,0.0813,294.8000,0.3790
image_1783_Nucleus.ome.tiff,image_1783_Nucleus.ome_fake_B.png,0.6604,0.2567,0.0787,113.1199,0.2300
image_1043_Nucleus.ome.tiff,image_1043_Nucleus.ome_fake_B.png,0.7445,0.2830,0.0510,59.0453,0.5011
image_385_Nucleus.ome.tiff,image_385_Nucleus.ome_fake_B.png,0.1715,0.2532,0.0902,175.9257,0.6694
image_2130_Nucleus.ome.tiff,image_2130_Nucleus.ome_fake_B.png,0.6252,0.1708,0.0789,137.7953,0.2272
image_332_Nucleus.ome.tiff,image_332_Nucleus.ome_fake_B.png,0.5606,0.6842,0.0298,87.3952,0.2988
image_463_Nucleus.ome.tiff,image_463_Nucleus.ome_fake_B.png,0.2181,0.1010,0.3524,205.0154,0.1730
image_2264_Nucleus.ome.tiff,image_2264_Nucleus.ome_fake_B.png,0.5471,0.2825,0.0993,141.2467,0.1905
image_1688_Nucleus.ome.tiff,image_1688_Nucleus.ome_fake_B.png,0.5886,0.1823,0.0850,76.8411,0.5380
image_1384_Nucleus.ome.tiff,image_1384_Nucleus.ome_fake_B.png,0.8185,0.5671,0.0483,49.5041,0.1616
image_475_Nucleus.ome.tiff,image_475_Nucleus.ome_fake_B.png,0.2337,0.2000,0.4371,233.2187,0.1403
image_2376_Nucleus.ome.tiff,image_2376_Nucleus.ome_fake_B.png,0.7168,0.5457,0.0598,256.3292,0.3401
image_955_Nucleus.ome.tiff,image_955_Nucleus.ome_fake_B.png,0.7056,0.2205,0.0856,78.8375,0.2987
